date,close,volume,open,high,low,symbol
2023-09-21,41.017,450736000,41.583,42.1,40.98,NVDA
2023-09-20,42.239,367107700,43.6,43.903,42.223,NVDA
2023-09-19,43.52,373064200,43.833,43.966,43.002,NVDA
2023-09-18,43.966,500270800,42.748,44.242,42.0,NVDA
2023-09-15,43.9,506830500,45.341,45.599,43.808,NVDA
2023-09-14,45.581,370097200,45.95,45.987,45.131,NVDA
2023-09-13,45.485,398355400,44.6,45.93,44.503,NVDA
2023-09-12,44.87,349256300,44.738,45.673,44.531,NVDA
2023-09-11,45.178,473965600,46.148,46.163,44.312,NVDA
2023-09-08,45.572,473899900,45.942,46.606,45.271,NVDA
2023-09-07,46.241,433329900,45.525,46.344,45.152,NVDA
2023-09-06,47.061,468669600,48.441,48.549,46.58,NVDA
2023-09-05,48.548,382652600,48.223,48.8508,47.86,NVDA
2023-09-01,48.509,463830300,49.762,49.8,48.1416,NVDA
2023-08-31,49.355,528569800,49.38,49.744,48.958,NVDA
2023-08-30,49.264,735206000,49.044,49.927,48.425,NVDA
2023-08-29,48.784,701397000,46.666,49.081,46.391,NVDA
2023-08-28,46.835,685192200,46.482,46.98,44.888,NVDA
2023-08-25,46.018,925340500,47.012,47.805,45.024,NVDA
2023-08-24,47.163,1156044000,50.216,50.266,47.159,NVDA
2023-08-23,47.116,779046100,45.866,47.2,45.208,NVDA
2023-08-22,45.668,757206900,48.135,48.187,45.3331,NVDA
2023-08-21,46.967,692573400,44.494,47.065,44.222,NVDA
2023-08-18,43.299,583767900,42.635,43.578,41.66,NVDA
2023-08-17,43.3435,452394800,43.97,44.062,43.001,NVDA
2023-08-16,43.486,527450700,44.52,44.675,43.406,NVDA
2023-08-15,43.94,676511500,44.56,45.268,43.71,NVDA
2023-08-14,43.753,690285800,40.486,43.8,40.311,NVDA
2023-08-11,40.855,533085300,41.751,42.018,40.639,NVDA
2023-08-10,42.388,492705300,42.16,43.574,41.835,NVDA
2023-08-09,42.554,586449100,44.274,44.312,42.134,NVDA
2023-08-08,44.664,353843400,44.853,45.242,44.056,NVDA
2023-08-07,45.4165,322153500,45.111,45.54,44.5635,NVDA
2023-08-04,44.68,362666200,44.985,45.642,44.393,NVDA
2023-08-03,44.515,325076600,43.8,45.118,43.8,NVDA
2023-08-02,44.269,530141600,45.831,45.84,43.387,NVDA
2023-08-01,46.507,239276000,46.4595,46.9,46.027,NVDA
2023-07-31,46.729,251055300,46.754,47.13,46.506,NVDA
2023-07-28,46.75,331194200,46.668,47.027,46.381,NVDA
2023-07-27,45.9,455975500,46.519,47.395,45.75,NVDA
2023-07-26,45.452,364237300,46.021,46.053,44.63,NVDA
2023-07-25,45.679,348080900,44.941,46.1825,44.923,NVDA
2023-07-24,44.612,383099700,44.731,45.109,44.04,NVDA
2023-07-21,44.309,963768600,45.788,45.866,44.1,NVDA
2023-07-20,45.52,537864500,46.507,47.087,45.062,NVDA
2023-07-19,47.077,427501800,47.464,47.818,46.742,NVDA
2023-07-18,47.494,570190400,46.701,47.896,45.734,NVDA
2023-07-17,46.461,510488200,46.289,46.496,45.2624,NVDA
2023-07-14,45.469,772075300,46.5828,48.088,45.06,NVDA
2023-07-13,45.977,478203700,44.518,46.155,44.492,NVDA
2023-07-12,43.902,481277000,43.033,43.935,42.7773,NVDA
2023-07-11,42.405,298244100,42.481,42.758,42.067,NVDA
2023-07-10,42.18,353908100,42.657,42.811,41.649,NVDA
2023-07-07,42.503,355881500,42.322,43.214,42.18,NVDA
2023-07-06,42.103,304138800,41.844,42.179,41.346,NVDA
2023-07-05,42.317,323617600,42.135,43.177,42.085,NVDA
2023-07-03,42.413,197754100,42.517,42.898,42.202,NVDA
2023-06-30,42.302,501147800,41.68,42.55,41.501,NVDA
2023-06-29,40.822,380514300,41.558,41.6,40.6,NVDA
2023-06-28,41.117,582639300,40.66,41.845,40.518,NVDA
2023-06-27,41.876,462174700,40.799,41.94,40.448,NVDA
2023-06-26,40.632,594321900,42.461,42.764,40.1,NVDA
2023-06-23,42.209,358139800,42.464,42.809,42.015,NVDA
2023-06-22,43.025,417737400,42.253,43.4255,42.234,NVDA
2023-06-21,43.045,551602900,43.501,43.615,42.08,NVDA
2023-06-20,43.808,451153100,42.998,43.99,42.674,NVDA
2023-06-16,42.692,655709400,43.45,43.721,42.6605,NVDA
2023-06-15,42.653,568622000,42.602,43.289,42.147,NVDA
2023-06-14,42.997,740465000,40.824,43.0,40.552,NVDA
2023-06-13,41.022,613208200,40.186,41.101,39.74,NVDA
2023-06-12,39.482,389673400,39.2,39.53,38.618,NVDA
2023-06-09,38.77,427717500,39.037,39.711,38.567,NVDA
2023-06-08,38.51,417772400,37.724,38.864,37.505,NVDA
2023-06-07,37.475,511997900,38.915,39.499,37.356,NVDA
2023-06-06,38.654,388729100,38.83,39.16,38.148,NVDA
2023-06-05,39.171,396093800,38.909,39.565,38.707,NVDA
2023-06-02,39.327,482731200,40.097,40.5,39.058,NVDA
2023-06-01,39.77,635873000,38.489,40.05,38.34,NVDA
2023-05-31,37.834,1002580000,39.488,40.295,37.822,NVDA
2023-05-30,40.111,923401100,40.595,41.938,39.949,NVDA
2023-05-26,38.946,714396800,37.89,39.17,37.55,NVDA
2023-05-25,37.98,1543911000,38.523,39.48,36.635,NVDA
2023-05-24,30.538,721418500,30.21,30.607,29.806,NVDA
2023-05-23,30.688,356253300,31.0,31.288,30.631,NVDA
2023-05-22,31.176,371999700,30.901,31.52,30.68,NVDA
2023-05-19,31.264,473907700,31.536,31.58,30.916,NVDA
2023-05-18,31.678,748725000,30.41,31.828,30.32,NVDA
2023-05-17,30.178,432535400,29.584,30.199,29.43,NVDA
2023-05-16,29.213,449404900,28.841,29.87,28.832,NVDA
2023-05-15,28.953,293925900,28.5085,28.969,28.152,NVDA
2023-05-12,28.34,274222300,28.529,28.78,28.046,NVDA
2023-05-11,28.578,322149000,28.896,28.95,28.246,NVDA
2023-05-10,28.885,369350000,29.005,29.113,28.4613,NVDA
2023-05-09,28.571,314869500,28.899,28.973,28.45,NVDA
2023-05-08,29.151,344978900,28.522,29.22,28.35,NVDA
2023-05-05,28.68,361494100,27.8255,28.755,27.731,NVDA
2023-05-04,27.562,321850400,27.651,27.859,27.24,NVDA
2023-05-03,27.802,383387400,27.84,28.367,27.472,NVDA
2023-05-02,28.21,402729600,28.68,28.836,28.083,NVDA
2023-05-01,28.91,570328500,27.84,29.0584,27.78,NVDA
2023-04-28,27.749,292216100,27.225,27.758,27.0715,NVDA
2023-04-27,27.226,377161200,27.363,27.495,26.625,NVDA
2023-04-26,26.956,406336800,27.002,27.33,26.7051,NVDA
2023-04-25,26.241,378527200,27.078,27.247,26.225,NVDA
2023-04-24,27.042,339281900,27.013,27.366,26.671,NVDA
2023-04-21,27.119,345102800,26.952,27.183,26.722,NVDA
2023-04-20,27.104,427713300,27.671,28.03,27.0,NVDA
2023-04-19,27.931,358660400,27.361,28.0,27.232,NVDA
2023-04-18,27.667,604811500,27.5335,28.11,27.357,NVDA
2023-04-17,27.002,321471300,26.5655,27.006,26.4332,NVDA
2023-04-14,26.758,395660100,26.504,26.883,26.22,NVDA
2023-04-13,26.463,353615300,26.734,26.8869,26.329,NVDA
2023-04-12,26.495,446259000,27.37,27.468,26.4475,NVDA
2023-04-11,27.169,314378200,27.7235,27.79,27.126,NVDA
2023-04-10,27.579,395278600,26.823,27.621,26.669,NVDA
